sampleName	originalIndex	Cell.Type..Samples	MajorType	GabaDeep	CellType	forContanim	FullCellType	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	Astrocyte	Gabaergic	Oligodendrocyte	sex	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	Gabaergic	Astrocyte	Oligodendrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	MeanCont
GSM337773	1	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.385421611568257	0.215022963800513	0.375075572802609	0.153429384660523	0.182038654918206	0.115530060345216	0.239900958407288	0.245416856142236	0.031777311632122	0.182573974649195	0.145923074439093	0.916957713877468	0.290970581487028	0.162157263578636	0.269567239530749	0.213833578937948	0.106325067118685	0.248936580464457
GSM337774	1	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.433517990417531	0.168388657417388	0.330900154049664	0.148063349195607	0.243124490048075	0.139909609380596	0.12939840189612	0.382363715954457	0.092600635801664	0.303158304262048	0.133540665453721	0.920588294891543	0.29547534159862	0.155573209405798	0.175522370690373	0.161903954007994	0.22740276409598	0.261260700503952
GSM337775	1	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.387305801702798	0.21826178453862	0.406935214604974	0.160194942018856	0.265516350269933	0.125369078193821	0.164229003672751	0.380137448075881	0.0966862300209267	0.324444747262865	0.13675284027584	0.936117158703168	0.359036811739208	0.169195333374616	0.158193376432495	0.121592714028152	0.196794213435964	0.270986061667698
GSM337779	2	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	Cholin	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.583424199507718	0.124114675304286	0.238802326822794	0.197735848077611	0.866332880414359	0.0935669668048869	0.18665473179569	0.0848750759510075	0.0455472758398331	0.219145070337299	0.130623084279327	0.0890625042184412	0.131713892502747	0.176714180531985	0.128719654426493	0.171249406670866	0.155017317191515	0.213135240628051
GSM337780	2	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	Cholin	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.55758150437538	0.135350067174188	0.242150923403339	0.148189926200009	0.875148115677168	0.101248115770269	0.211708444460316	0.0752586352386689	0.0944706605565532	0.209027801661531	0.13365498397189	0.090446484273586	0.172705496520681	0.184220022437667	0.102421095410045	0.208370977422546	0.125148367033344	0.215711860093363
GSM337781	2	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	Cholin	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.589936220826082	0.126912508179122	0.234218033260628	0.182214621240679	0.861939857407139	0.0556443770653001	0.199049214662996	0.0842333704197882	0.106968671578825	0.21263012896414	0.137978913005269	0.103212304757806	0.171752744027942	0.192615616498837	0.120936657503263	0.221143256274109	0.136500581734345	0.219875710435663
GSM337785	3	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.267913228521428	0.233198627125762	0.38399223145693	0.178181210646372	0.129578073349558	0.188166629167547	0.0779143870117997	0.329937652865098	0.055507842714684	0.127151228709903	0.141574050742409	0.944441126416047	0.255275717267435	0.142421442611699	0.104747614353705	0.105872343767958	0.156853898636477	0.224866312080283
GSM337786	3	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.321012799439301	0.311778344796606	0.493107734863122	0.153745622155577	0.128724204359929	0.146225137142883	0.0973127178887647	0.212673504543754	0.0656046039741816	0.142697925575877	0.14685966160522	0.980746350506456	0.37097038495294	0.151841948656502	0.0795110123659645	0.126179456931982	0.140048170293275	0.239355269414843
GSM337787	3	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.301967920684279	0.267878646542397	0.425579281886214	0.216398757223315	0.117133198506014	0.134085572088123	0.11642975085251	0.269491966533824	0.0483543309792342	0.162783215070603	0.149639073395	0.945080335534234	0.236580032524276	0.125617463584458	0.114769139661688	0.165627135292156	0.127624494833746	0.230884724423063
GSM337791	4	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	Cholin	Cholin	Cholin	Cholin	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.568647690012945	0.152659803025003	0.330480319507063	0.201106410985949	0.95630855994835	0.0903408751500699	0.150414316938603	0.0343610815127421	0.0825910823286981	0.189717458619366	0.135672210136667	0.0814567232661032	0.272463522844834	0.206557774530777	0.125326502419414	0.264159757262417	0.141646952002863	0.234347708264227
GSM337792	4	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	Cholin	Cholin	Cholin	Cholin	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	0	0	0	male	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.547859502926561	0.12467346990104	0.29588793640763	0.166640521237836	0.968067388350277	0.100978693381278	0.178140106225348	0.138231271825473	0.071756435775622	0.191966833871503	0.130751644019011	0.0820922262431562	0.20672231502142	0.180306113812267	0.0943863987556625	0.223877424006422	0.142698882413061	0.226178656716092
