sampleName	originalIndex	Cell.Type..Samples	MajorType	GabaDeep	CellType	forContanim	FullCellType	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	sex	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	MeanCont
GSM337817	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.385037368282573	0.16744670065547	0.218330561793034	0.115852321389476	0.0960669531916021	0.262633300112729	0.0620678102894621	0.147940232773324	0.206357815664971	0.119820231545913	0.44147735392407	0.159256007264191	0.117238458499676	0.344815851024658	0.130255588641528	0.198306437003512
GSM337818	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.440475841315069	0.171775011422793	0.26379377101063	0.10758622372737	0.0809370078407858	0.391662606787402	0.0612555193546767	0.153591233791615	0.185271028750427	0.104772045950834	0.586344638207956	0.149310303265949	0.0965501289925805	0.300479031761118	0.119319971788415	0.214208290931175
GSM337819	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.448183543225168	0.178414402846115	0.248596336594018	0.102978672772225	0.107212335587011	0.390307400507607	0.0650970879136577	0.158533821342275	0.192449759290448	0.123514284098448	0.549858209475934	0.151945922125194	0.121075920838886	0.332822628676375	0.133333966476996	0.220288286118024
GSM337821	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.255089554871318	0.110086299066913	0.310044821731977	0.0962639596570203	0.0981105463845423	0.356782451096757	0.0507371884787881	0.139400209166615	0.156594270492209	0.130093237088014	0.239600189429096	0.189961426897128	0.119330547132573	0.326296718902649	0.0974997569736394	0.178392745157949
GSM337822	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.304276416302193	0.171474820348348	0.268916274864717	0.074765728281541	0.0961177876791855	0.437711768874099	0.0392304813662502	0.150007505317797	0.16963498539217	0.116849754726923	0.164665881200066	0.180352913263288	0.143550367400839	0.351150819218131	0.111048752792249	0.18531695046852
GSM337823	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.341846218784801	0.161750264694541	0.281131835981049	0.151890248337232	0.108087580910732	0.477393251740644	0.0403727448468744	0.157810647271745	0.189234620750051	0.131165117021435	0.25467353067736	0.194056933531757	0.109898046950165	0.314421485583385	0.133348025297243	0.203138703491934
GSM337837	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.306006351312539	0.192680747388809	0.216065368021676	0.134016432316322	0.0999333346714615	0.468502124054814	0.0516328411985851	0.179725585155245	0.150633668510811	0.119098617591794	0.156293501907038	0.180053610167035	0.12568441663841	0.317563201118714	0.126968974861825	0.188323918327672
GSM337838	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.33037410073526	0.1813255716146	0.206291465849884	0.120741813685175	0.160503072076668	0.368276495710088	0.0647142234813825	0.178058724550618	0.151875136379933	0.136980856590933	0.164486188248393	0.168751015260765	0.129439339751443	0.332347413565378	0.144865345222213	0.189268717514849
GSM337839	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	NA	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.313569787180698	0.222780202135343	0.262965183390262	0.219097078845166	0.119594790703905	0.34161073825853	0.0507371884787881	0.155629684006483	0.157071072941079	0.112189824671243	0.165751308470056	0.164795498604464	0.106508223408914	0.407338979093429	0.126333551069434	0.195064874083853
GSM337773	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	male	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.190444961729623	0.149119738371421	0.182596106054041	0.117754336317878	0.243403410418797	0.256180114547044	0.0265803637646122	0.182712397672594	0.146720452086066	0.919154157254266	0.290683896520237	0.165630115018321	0.272108158106579	0.21766249517608	0.170305744955639	0.235403763199547
