sampleName	originalIndex	Cell.Type..Samples	MajorType	GabaDeep	CellType	forContanim	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	Notes	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	MeanCont
GSM337817	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.6212898308	0.524694299	0.3572711575	0.5563318356	0.2813282594	0.6372696667	0.3933515873	0.4544148462	0.5009412442	0.3526305837	0.4425349694	0.3809940366	0.3930160901	0.4589930636	0.2831007706	0.4425441494
GSM337818	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.6641875709	0.492713832	0.4603095157	0.5179620445	0.2628719431	0.6834190142	0.4492764523	0.4606921405	0.4687431241	0.3210149629	0.5441743616	0.3952532788	0.3476315046	0.4250792021	0.3805789629	0.4582605274
GSM337819	1	H_lva_cortex:v2_GSM337817,v2_GSM337818,v2_GSM337819	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5A Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.6698070083	0.5205969381	0.4907856024	0.527530097	0.233655124	0.6736188527	0.4280515979	0.4382751745	0.4968155142	0.33060167	0.5930622227	0.3804440655	0.3955742474	0.4201571984	0.4706804462	0.4713103839
GSM337821	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5343396683	0.4711701014	0.5286913179	0.5051278208	0.2701703002	0.666197523	0.2929247411	0.4153800994	0.3959080573	0.2907063907	0.286175468	0.4506222799	0.3806514704	0.4057651591	0.4079304647	0.4201173908
GSM337822	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5305046701	0.4459172892	0.4553381663	0.5111165749	0.3123176021	0.6740916825	0.2340202914	0.4474852595	0.3780975175	0.325766552	0.263740025	0.3959495829	0.3815026342	0.3791921962	0.3820097876	0.4078033221
GSM337823	2	H_lvb_cortex:v2_GSM337821,v2_GSM337822,v2_GSM337823	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 5B Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5827852644	0.4691262956	0.5103867167	0.5493741269	0.4048813443	0.721254346	0.4412819404	0.4402758031	0.4405720531	0.3796603624	0.4142417904	0.3149196522	0.357390217	0.4323116202	0.4497740085	0.4605490361
GSM337837	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5545635656	0.5306258855	0.3439301457	0.5498334901	0.341149035	0.7174215168	0.3711779872	0.4270530823	0.3915808535	0.2969972154	0.3348295187	0.4013624358	0.3962822732	0.4438634418	0.33452685	0.4290131531
GSM337838	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5646010487	0.4510817909	0.4368448314	0.5433158507	0.399691823	0.6905665819	0.5499542441	0.4252785544	0.3943498218	0.3128331528	0.2312860577	0.3558609555	0.4063328503	0.5392279443	0.3606537124	0.4441252813
GSM337839	3	H_l6_cortex:v2_GSM337837,v2_GSM337838,v2_GSM337839	Neuron	NA	NA	Pyramidal	Pyramidal	NA	Pyramidal Neurons	Cortex	Layer 6 Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	Astrocyte contamination	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5794105174	0.5472652678	0.4755676937	0.6448976845	0.4009249625	0.67208706	0.3712225733	0.4866944513	0.3937667525	0.2954091089	0.2916454299	0.3892471167	0.3770537126	0.4936870072	0.4281104525	0.456465986
GSM337773	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3757285225	0.4123406622	0.3664980779	0.4857555413	0.5358822475	0.5393995641	0.3137919721	0.332105949	0.3397434499	0.9452932199	0.4165224469	0.3559805077	0.4682281153	0.2961159384	0.4150596523	0.4398963911
