humanGene	mouseGene
COPG1	Copg1
ATP6V0D1	Atp6v0d1
GOLGA7	Golga7
PSPH	Psph
MIR3656 /// TRAPPC4	Trappc4
TRAPPC4	Trappc4
DPM2	Dpm2
PSMB5	Psmb5
DHRS1	Dhrs1
PPM1A	Ppm1a
PSENEN	Psenen
ANAPC1 /// LOC730268	Anapc1
ANAPC1 /// LOC285074 /// LOC730268	Anapc1
MRPL43	Mrpl43
XPO7	Xpo7
NMT1	Nmt1
ATG5	Atg5
MTIF2	Mtif2
RAB14	Rab14
PSAP	Psap
UBE2G1	Ube2g1
ZKSCAN4	Zkscan3
MRPL27	Mrpl27
DLG1	Dlg1
CANX	Canx
DERL1	Derl1
WARS	LOC101056688 /// Wars
PSMA1	Psma1
SAR1A	Sar1a
G3BP2	G3bp2
GOLM1	Golm1
GPS1	Gps1
SSR3	Ssr3
RPL23 /// SNORA21	LOC100044627 /// LOC100862455 /// Rpl23
CTBP1	Ctbp1
HUWE1	Huwe1
CDV3	Cdv3
SMIM7	Smim7
COPA	Copa
ANAPC2	Anapc2
GBF1	Gbf1
COX18	Cox18
ARFGEF1	Arfgef1
ZRANB1	Zranb1
DDX24	Ddx24
SNRNP27	Snrnp27
TMEM129	Tmem129
RPS27	Gm9846 /// Rps27
RNF220	Rnf220
SAP30L	Sap30l
ARMC1	Armc1
MAD2L1BP	Mad2l1bp
NAA60	Naa60
VTA1	Vta1
EIF5	Eif5 /// LOC100047658
EIF5 /// SNORA28	Eif5 /// LOC100047658
CDC42	Cdc42
RRN3 /// RRN3P1 /// RRN3P2	Rrn3
RRN3	Rrn3
ANKRD17	Ankrd17
APOA1BP	Apoa1bp
BCL2L2-PABPN1 /// PABPN1	Pabpn1
PABPN1	Pabpn1
PDPK1	Pdpk1
CPSF7	Cpsf7
ANGEL2	Angel2
ABHD16A /// LY6G6E	Abhd16a
ABHD16A	Abhd16a
RAB7A	Rab7
DDB1	Ddb1
PFDN5	Pfdn5
RFK	Rfk
TXNDC12	Txndc12
KTI12 /// TXNDC12	Txndc12
RBM42	Rbm42
PSMC5	Psmc5
TMEM165	Tmem165
AUP1	Aup1
HDAC5	Hdac5
PFDN6	H2-Ke2
DSCR3	Dscr3
CIC	Cic
RIOK3	Riok3
DCTN5	Dctn5
RRAGC	Rragc
TBL3	Tbl3
HP1BP3	Hp1bp3
C18orf32 /// RPL17 /// RPL17-C18orf32	BC031181
ABHD17A	Abhd17a
POLR2F	Polr2f
TMEM189 /// TMEM189-UBE2V1 /// UBE2V1	Ube2v1
SNAPIN	Snapin
FRYL	Fryl
LAMTOR5	Lamtor5
ATOX1	Atox1
MRPL52	Mrpl52
TMEM234	Tmem234
LOC441155 /// ZC3H11A	Zbed6 /// Zc3h11a
ZBED6	Zbed6 /// Zc3h11a
HNRNPUL2	Hnrnpul2
HNRNPUL2 /// HNRNPUL2-BSCL2	Hnrnpul2
YTHDF1	Ythdf1
UBE2R2	Ube2r2
ITCH	Itch
WDR6	Wdr6
LOC100996253 /// NCL	Ncl
ELP2	Elp2
RBBP7	Rbbp7
ALDH3A2	Aldh3a2
PNLIPRP1	Pnliprp1
MORF4L2	Morf4l2
ACTG1	Actg1
ARMCX2	Armcx2
SUMO2	LOC101056240 /// LOC101056627 /// Sumo2
VPS35	Vps35
CCT8	Cct8
PGC	Pgc
GANAB	Ganab
UBLCP1	Ublcp1
RNF34	Rnf34
RBCK1	Rbck1
PNPO	Pnpo
SPIN1	Spin1
DAZAP2	Dazap2 /// Gm2444
DDR1 /// MIR4640	Ddr1
WBP11	Wbp11
GJA1	Gja1
SLC16A1	Slc16a1
CX3CL1	Cx3cl1
CLPS	Clps
PLAT	Plat
MIR636 /// SRSF2	Srsf2
UHRF1	Uhrf1
GSN	Gsn
API5	Api5
ATP6V1B2	Atp6v1b2
TRIM27	Trim27
CCT7	Cct7
ANXA6	Anxa6
PPP2R1A	Ppp2r1a
NONO	Nono
CSNK1D	Csnk1d
ATP6V1H	Atp6v1h
SERP1	Serp1
LBR	Lbr
ORC5	Orc5
PSMD2	Psmd2
AGTR2	Agtr2
RPS29	Rps29
DUSP6	Dusp6
ALDH18A1	Aldh18a1
KLK3	Klk1
SERINC1	Serinc1
NPM1	LOC100046628 /// Npm1
ELOVL5	Elovl5
DYNC1I2	Dync1i2
MLST8	Mlst8
SYT4	Syt4
LDHC	Ldhc
STMN1	Stmn1
MIR3917 /// STMN1	Stmn1
RASA3	Rasa3
IMPDH2	Gm15210 /// Impdh2
DEF8	Def8
KITLG	Kitl
EMB	Emb
EIF3C /// EIF3CL	Eif3c
EIF3C	Eif3c
KPNA2	Kpna2
TYRP1	Tyrp1
EIF4G2	Eif4g2
BPGM	Bpgm
UNC45A	Unc45a
CCT4	Cct4
TRIM28	Trim28
CALU	Calu
TGFBI	Tgfbi
HNRNPH1	Hnrnph1
ACTR1A	Actr1a
SPRY1	Spry1
LOC100996747 /// RPS26 /// RPS26P11	LOC100046297 /// Rps26
DPYSL3	Dpysl3
RRM1	Rrm1
RPLP2 /// SNORA52	Rplp2
RPLP2	Rplp2
LAMP1	Lamp1
GHITM	Ghitm
CELA3B	Cela3b
CHGB	Chgb
SH2D3C	Sh2d3c
TFG	Tfg
HDGF	Hdgf
HSP90B1 /// MIR3652	Hsp90b1
HSP90B1	Hsp90b1
PAPSS1	Papss1
SUCLG1	Suclg1
SGPL1	Sgpl1
ENPP2	Enpp2
SNRPN	Snrpn /// Snurf
PAR-SN /// SNORD107 /// SNRPN /// SNURF	Snrpn /// Snurf
LOC100506948 /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-28 /// SNRPN	Snrpn /// Snurf
SNRPN /// SNURF	Snrpn /// Snurf
LOC100506948 /// PAR-SN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-28 /// SNRPN /// SNURF	Snrpn /// Snurf
IPW /// LOC100506948 /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-28 /// SNRPN	Snrpn /// Snurf
MGST1	Mgst1
JUNB	Junb
KIT	Kit
PLOD3	Plod3
ALDH7A1	Aldh7a1
SLC38A1	Slc38a1
LPL	Lpl
REG1A	Reg1
CCND3	Ccnd3
TSPYL1	Tspyl1
STIP1	Stip1
CIAPIN1	Ciapin1
IMPACT	Impact
LOC100508408 /// RPS13 /// SNORD14B	Gm15483 /// Rps13 /// Rps13-ps4
LOC100508408 /// RPS13 /// SNORD14B	Rps13
HNRNPAB	Hnrnpab
DDX1	Ddx1
MTHFD1	Mthfd1
TPI1	Tpi1
NPDC1	Npdc1
CSTF2T	Cstf2t
TNFRSF19	Tnfrsf19
MARCKSL1	Marcksl1
NDN	Ndn
TNP1	Tnp1
NUP62	Nup62
IL4I1 /// NUP62	Nup62
ACTC1	Actc1
MAP1LC3B	Map1lc3b
IGF2	Igf2
IGF2 /// INS-IGF2	Igf2
ATP9A	Atp9a
COX5A	Cox5a
COPS8	Cops8
SMOC2	Smoc2
BCAR3	Bcar3
PDCD6IP	Pdcd6ip
SPINK1	Spink3
FMOD	Fmod
ZFAND2A	Zfand2a
RPL10 /// SNORA70	Gm5621 /// Rpl10
SDC1	Sdc1
MCM5	Mcm5
PIGQ	Pigq
CREG1	Creg1
CPE	Cpe
PEBP1	Pebp1
FKBP10	Fkbp10
MARK2	Mark2
CDK16	Cdk16
RRP1	Rrp1
SLC2A4	Slc2a4
MPO	Mpo
ITM2C	Itm2c
EIF3H	Eif3h
HNRNPH2 /// RPL36A-HNRNPH2	Hnrnph2
SCD	Scd1
NDUFV1	Ndufv1
COX6C	Cox6c
MARCKS	Marcks
MAP2K2	Map2k2
CARHSP1	Carhsp1
ISYNA1	Isyna1
TUBB3	Tubb3
RPL7	Rpl7
ATP5G2	Atp5g2
HERPUD2	Herpud2
LCP1	Lcp1
ACADM	Acadm
SF3B3	Sf3b3
CLCN4	Clcn4-2
HDLBP	Hdlbp
VCAM1	Vcam1
VDAC2	Vdac2
KLHDC3	Klhdc3
PIGO	Pigo
SQLE	Sqle
CYP2E1	Cyp2e1
CASP6	Casp6
LOC101060503 /// TXNIP	Txnip
VDAC1	Vdac1
HEY1	Hey1
PRDX1	Gm21399 /// Prdx1
COTL1	Cotl1
CLDN11	Cldn11
YWHAH	Ywhah
PSMC1	Psmc1
MDK	Mdk
SATB1	Satb1
TSPAN3	Tspan3
EHD1	Ehd1
PLD3	Pld3
ABCE1	Abce1
TAP1	Tap1
DR1	Dr1
ATP5G1	Atp5g1
FABP5 /// LOC101060453	Fabp5 /// Gm3601
FABP5 /// LOC101060453	Fabp5
FABP3	Fabp3
CCT3	Cct3
FGG	Fgg
NBEAL1 /// RPL12	LOC101055925 /// LOC630855 /// Rpl12
RPL12	LOC101055925 /// LOC630855 /// Rpl12
LOC728613 /// PDCD6	Pdcd6
PDCD6	Pdcd6
HN1	Hn1
KLF10	Klf10
MCM7	Mcm7
TMEM109	Tmem109
HIF1A	Hif1a
FKBP1A	Fkbp1a
CCT2	Cct2
SND1	Snd1
CYR61	Cyr61
LIPF	Lipf
SGK1	Sgk1
NASP	Nasp
FLII /// LLGL1	Flii /// LOC101056523
FLII	Flii /// LOC101056523
SMARCB1	Smarcb1
FUCA2	Fuca2
PHC2	Phc2
GLDC	Gldc
SCARB1	Scarb1
C2	C2
PRPS1	Prps1
LRRN1	Lrrn1
RPS5	Rps5
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	Amy2a1 /// Amy2a2 /// Amy2a3 /// Amy2a4 /// Amy2a5
NDUFB11	Ndufb11
ATP5C1	Atp5c1
SEC23B	Sec23b
TBC1D15	Tbc1d15
HSPA5	Hspa5
ANKRD10	Ankrd10
CD9	Cd9
IFRD1	Ifrd1
KARS	Kars /// LOC631033
PFKP	Pfkp
DDX18	Ddx18
CD34	Cd34
NUP85	Nup85
RPL28	Gm10051 /// Rpl28
SAV1	Sav1
ADM	Adm
RAF1	Raf1
ARPC1A	Arpc1a
ADAM15	Adam15
SMAD1	Smad1
RAB1A	Rab1
ZFAND5	Zfand5
TPST2	Tpst2
AP1S1	Ap1s1
RPS15	LOC100046223 /// Rps15
PDHB	Pdhb
MAP4	Map4
MRPL20	Mrpl20
ADAM9	Adam9
SARNP	Sarnp
VIPAS39	Vipas39
LRRC4	Lrrc4
SYNGR3	Syngr3
RPL27	Rpl27
EIF3D	Eif3d
HIST1H1C	Hist1h1c
YWHAZ	Ywhaz
MPDU1	Mpdu1
KTI12 /// TXNDC12	Kti12
HMP19	Nsg2
TMED3	Tmed3
FUCA1	Fuca1
SLC35A4	Slc35a4
CD83	Cd83
COX8A	Cox8a /// LOC100048483
FKBP8	Fkbp8
SPARCL1	Sparcl1
ORC3	Orc3
TRIM59	Trim59
TXN	Txn1
RRM2	Rrm2
LOX	Lox
CCND2	Ccnd2
FKBP5	Fkbp5
POLR1B	Polr1b
DNPEP	Dnpep
TUBA1C	Gm6682 /// Tuba1c
ERRFI1	Errfi1
PRNP	Prnp
EFR3A	Efr3a
APLP1	Aplp1
APEX1	Apex1
MMP2	Mmp2
ANXA7	Anxa7
REG1B	Reg2
DHX30	Dhx30
ATP5J	Atp5j
DHX15	Dhx15
HSPA4	Hspa4
LAPTM4B	Laptm4b
OLIG1	Olig1
SRSF3	Srsf3
SRP54	Srp54a /// Srp54b /// Srp54c
SRP54	Srp54a /// Srp54b
HMGB3	Hmgb3
VCL	Vcl
NR2F2	Nr2f2
RAD21	Rad21
COPS4	Cops4
FBLN5	Fbln5
RAB31	Rab31
PRDX4	Prdx4
SERPINF1	Serpinf1
TRAP1	Trap1
KANSL2	Kansl2
PES1	Pes1
RBBP9	Rbbp9
VDAC3	Vdac3
HMGB1	Gm21596 /// Gm6115 /// Hmgb1 /// LOC637733
RBMXL1	Rbmxl1
PLEKHB1	Plekhb1
RDX	Rdx
MESDC2	Mesdc2
APBA3	Apba3
LDHB	Ldhb
HMGA1	Hmga1 /// Hmga1-rs1
ADH5	Adh5
LOC100996626 /// PNRC2	Pnrc2
GM2A	Gm2a
SEC61A1	Sec61a1
NAPA	Napa
CA1	Car1
CYP4B1	Cyp4b1
INPP5K	Inpp5k
RPSA /// RPSAP19 /// RPSAP58 /// RPSAP9 /// SNORA6 /// SNORA62	LOC100505031 /// LOC636901 /// Rpsa
RPSA	LOC100505031 /// LOC636901 /// Rpsa
SNRPC	Snrpc
NELFCD	Nelfcd
KIFC3	Kifc3
IL33	Il33
CRK	Crk
PHB2	Phb2
AQP1	Aqp1
GPD1	Gpd1
GLB1	Glb1
SIPA1	Sipa1
TAZ	Taz
USP14	Usp14
GLUD1	Glud1
IMP3	Imp3
PTN	Ptn
MAGOH	Magoh
SURF4	Surf4
MCM4	Mcm4
GOSR1	Gosr1
REPS1	Reps1
RPL37A	Rpl37a
RPL19	LOC100045367 /// Rpl19
SPCS1	Spcs1
FSTL1	Fstl1
NSDHL	Nsdhl
SH3BP5L	Sh3bp5l
ZBTB17	Zbtb17
ADH1C	Adh1
ARPC1B	Arpc1b /// Gm5637
PIN1	Pin1 /// Pin1rt1
VAC14	Vac14
OLIG2	Olig2
EIF3I	Eif3i
LRRC59	Lrrc59
MPZL2	Mpzl2
TIE1	Tie1
ASS1	Ass1
PSMB7	Psmb7
SEC13	Sec13
KLHL13	Klhl13
RPL35	Rpl35
CNBP	Cnbp
AURKAIP1	Aurkaip1
CORO1A	Coro1a
DCTN3	Dctn3
NADK	Nadk
BTG2	Btg2
MCM6	Mcm6
STK38	Stk38
CDKN2D	Cdkn2d
VPS16	Vps16
GJA4	Gja4
TUBB	Tubb5
CAPN2	Capn2
TK1	Tk1
PEX12	Pex12
SNX1	Snx1
TMEM19	Tmem19
ABCB9	Abcb9
CAPN10	Capn10
PDYN	Pdyn
SCOC	Scoc
ETS2	Ets2
ATP5J2	Atp5j2
POLR2G	Polr2g
PERP	Perp
LAMTOR3	Lamtor3 /// LOC637657
TNFAIP2	Tnfaip2
CTNS	Ctns
SLC26A6	Slc26a6
RPS4X	Rps4x
RPLP1	Gm13777 /// Rplp1
ATP5O	Atp5o /// LOC100047429
AP1B1	Ap1b1
UBA2	Uba2
WDR45B	Wdr45b
PSMC3	Psmc3
GART	Gart
MRPL28	Mrpl28
NDUFC1	Ndufc1
RGS4	Rgs4
DNAJA1	Dnaja1
PLOD1	Plod1
PSMC4	Psmc4
PRDX3	Prdx3
NFIB	Nfib
SCAMP3	Scamp3
IL2RG	Il2rg
REG3A	Reg3b
MMP9	Mmp9
SHCBP1	Shcbp1
SLC25A3	LOC100046151 /// Slc25a3
EBF1	Ebf1
LITAF	Litaf
SH3BP4	Sh3bp4
CLCA1	Clca3
AP1M1	Ap1m1
UGDH	Ugdh
NUSAP1	Nusap1
RARS	Rars
MLLT11	Mllt11
ABHD4	Abhd4
SLC27A2	Slc27a2
STAMBP	Stambp
SERPINB1	Serpinb1a
ADK	Adk
SEC22A	Sec22a
PRELP	Prelp
KCTD20	Kctd20
CRISP3	Crisp1
CRIP1	Crip1
UFC1	Ufc1
ATP6V0E1	Atp6v0e
CYFIP1	Cyfip1
CD81	Cd81
NFE2L1	Nfe2l1
CIRBP	Cirbp
DOK2	Dok2
WWOX	Wwox
MIF	Mif
SNRPD1	Gm14277 /// Snrpd1
UQCRB	Uqcrb
SH3GL1	Sh3gl1
PRKCSH	Prkcsh
MAN2B1	Man2b1
POLR2C	Polr2c
TNC	Tnc
LAMP2	Lamp2
TIMM8A	LOC101056577 /// Timm8a1
MEN1	Men1
MRPL34	Mrpl34
KLF16	Klf16
MAP2K1	Map2k1
TECR	Tecr
NR1H2	Nr1h2
RBMX /// SNORD61	Rbmx
GMPR2	Gmpr2
MCAM	Mcam
MFSD10	Mfsd10
SNX18	Snx18
DYNC1I1	Dync1i1
FKBP4	Fkbp4
HSP90AB1	Hsp90ab1
NDUFC2 /// NDUFC2-KCTD14	LOC635087 /// LOC675851 /// Ndufc2
C7orf55	1110001J03Rik
C7orf55 /// C7orf55-LUC7L2	1110001J03Rik
HIATL1	Hiatl1
ZSCAN21	Zscan21
APOD	Apod
PTDSS1	Ptdss1
NFS1	LOC101056574 /// Nfs1
